	assay_description	canonical_smiles	document_journal	document_year	molecule_chembl_id	relation	standard_relation	standard_type	standard_units	standard_value	type	units	value
7293	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)NC5CCN(CCCO)CC5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702764	=	=	IC50	nM	9710.0	IC50	nM	9710.0
7294	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)NC5CCN(C(C)=O)CC5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702765	=	=	IC50	nM	5120.0	IC50	nM	5120.0
7295	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)NC5CCN(C(=O)CCO)CC5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702766	=	=	IC50	nM	6870.0	IC50	nM	6870.0
7296	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)NC5CCN(C(=O)c6ccc(N(C)C)cc6)CC5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702767	=	=	IC50	nM	6150.0	IC50	nM	6150.0
7297	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)NC5CCN(C(=O)c6ccc(N7CCN(C)CC7)cc6)CC5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702768	=	=	IC50	nM	9650.0	IC50	nM	9650.0
7298	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(F)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702769	=	=	IC50	nM	2970.0	IC50	nM	2970.0
7299	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(OC)cc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702770	=	=	IC50	nM	2610.0	IC50	nM	2610.0
7300	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(CN(Cc3cccc4c(C(=O)Nc5ccc(OC)nc5)cn(C)c34)C(=O)[C@@H]2Cc2ccc(O)cc2)N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702771	=	=	IC50	nM	2160.0	IC50	nM	2160.0
7301	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(OC(C)(C)C)cc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702772	=	=	IC50	nM	19100.0	IC50	nM	19100.0
7302	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(CN(Cc3cccc4c(C(=O)Nc5ccc(CCO)cc5)cn(C)c34)C(=O)[C@@H]2Cc2ccc(O)cc2)N1C(=O)NCc1ccccc1		2015.0	CHEMBL3640016	=	=	IC50	nM	7400.0	IC50	nM	7400.0
7303	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(OCCOC)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702773	=	=	IC50	nM	7620.0	IC50	nM	7620.0
7304	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(OCCN(C)C)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702774	=	=	IC50	nM	10100.0	IC50	nM	10100.0
7305	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(OCCCN(C)C)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702775	=	=	IC50	nM	13030.0	IC50	nM	13030.0
7306	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(N(C)C)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702776	=	=	IC50	nM	6750.0	IC50	nM	6750.0
7307	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(N(C)CCO)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702777	=	=	IC50	nM	3450.0	IC50	nM	3450.0
7308	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(CN(Cc3cccc4c(C(=O)Nc5ccc(NCC(O)CO)nc5)cn(C)c34)C(=O)[C@@H]2Cc2ccc(O)cc2)N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702778	=	=	IC50	nM	2550.0	IC50	nM	2550.0
7309	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(NCC(C)(C)C)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702779	=	=	IC50	nM	2380.0	IC50	nM	2380.0
7310	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2[C@@H](Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(NCCN(C)C)nc5)cn(C)c34)C[C@@H]2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702780	=	=	IC50	nM	6750.0	IC50	nM	6750.0
7311	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(CN(Cc3cccc4c(C(=O)Nc5ccc(NCCN(CC)CC)nc5)cn(C)c34)C(=O)[C@@H]2Cc2ccc(O)cc2)N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702781	=	=	IC50	nM	4530.0	IC50	nM	4530.0
7312	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(NCCN(C(C)C)C(C)C)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702782	=	=	IC50	nM	4050.0	IC50	nM	4050.0
7313	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(N(CCN(CC)CC)CCN(CC)CC)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702783	=	=	IC50	nM	5350.0	IC50	nM	5350.0
7314	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(NCCN6CCCCC6)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702784	=	=	IC50	nM	2530.0	IC50	nM	2530.0
7315	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(Cc3ccc(O)cc3)C(=O)N(Cc3cccc4c(C(=O)Nc5ccc(NCCN6CCOCC6)nc5)cn(C)c34)CC2N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702785	=	=	IC50	nM	2320.0	IC50	nM	2320.0
7316	Inhibition Assay: This assay was performed in a 200 l volume in 96-well microtiter plates using cDNA-expressed human hepatic CYP3A4 (supersome, BD Gentest #456202). As a substrate for CYP3A4, 7-benzyloxy-4-trifluoromethyl-coumarin (BFC) was used. The compounds of Examples 1 to 5 and the substrate BFC were dissolved in 100% acetonitrile. The final volume of acetonitrile of the incubation mixture was less than 1% (volume/volume). A potassium phosphate buffer (pH 7.4, final concentration 0.1M), MgCl2 (final concentration 8.3 mM), EDTA (final concentration 1.67 mM), an inventive compound stock solution, CYP3A4 supersome, and NADPH (final concentration 0.25 mM) were added to each well. The reaction was initiated by adding the substrate (BFC, final concentration 30 M) at 37. The incubation was performed for 20 minutes and then the reaction was terminated by the addition of 75 ul of acetonitrile: 0.5 M tris-base=4:1 (volume/volume).Then, a fluorescent signal was measured using a fluorometer.	C=CCN1CC(=O)N2C(CN(Cc3cccc4c(C(=O)Nc5ccc(NCCN6CCC(O)CC6)nc5)cn(C)c34)C(=O)[C@@H]2Cc2ccc(O)cc2)N1C(=O)NCc1ccccc1		2015.0	CHEMBL3702786	=	=	IC50	nM	5800.0	IC50	nM	5800.0
